Datum;Last;Erzeugung
5.1.22 18:00;351.450;124.274
5.1.22 18:15;352.768;124.218
5.1.22 18:30;364.099;123.984
5.1.22 18:45;376.351;124.218
5.1.22 19:00;376.258;125.391
5.1.22 19:15;372.610;124.716
5.1.22 19:30;346.984;124.289
5.1.22 19:45;349.822;122.932
5.1.22 20:00;327.337;118.560
5.1.22 20:15;337.020;119.411
5.1.22 20:30;341.463;120.543
5.1.22 20:45;325.440;121.002
5.1.22 21:00;322.552;120.731
5.1.22 21:15;326.592;116.165
5.1.22 21:30;327.662;111.761
5.1.22 21:45;318.044;109.868
5.1.22 22:00;302.097;111.870
5.1.22 22:15;302.379;111.946
5.1.22 22:30;301.801;113.618
5.1.22 22:45;294.500;113.953
5.1.22 23:00;287.724;113.969
5.1.22 23:15;293.760;112.655
5.1.22 23:30;278.721;110.259
5.1.22 23:45;286.099;110.583
6.1.22 0:00;283.965;105.187
6.1.22 0:15;291.562;101.386
6.1.22 0:30;266.691;97.471
6.1.22 0:45;272.921;96.801
6.1.22 1:00;276.426;96.060
6.1.22 1:15;277.957;95.101
6.1.22 1:30;250.582;95.460
6.1.22 1:45;254.197;95.150
6.1.22 2:00;262.820;93.911
6.1.22 2:15;260.793;93.503
6.1.22 2:30;269.139;93.327
6.1.22 2:45;250.026;93.046
6.1.22 3:00;252.403;91.185
6.1.22 3:15;250.568;90.642
6.1.22 3:30;263.897;89.831
6.1.22 3:45;254.041;89.395
6.1.22 4:00;240.905;94.417
6.1.22 4:15;249.827;99.426
6.1.22 4:30;264.339;102.125
6.1.22 4:45;262.935;102.792
6.1.22 5:00;260.882;109.200
6.1.22 5:15;268.725;126.827
6.1.22 5:30;280.400;128.459
6.1.22 5:45;297.247;129.991
6.1.22 6:00;293.496;129.496
6.1.22 6:15;298.982;129.233
6.1.22 6:30;315.091;129.311
6.1.22 6:45;335.018;130.130
6.1.22 7:00;323.749;131.754
6.1.22 7:15;339.703;130.231
6.1.22 7:30;354.048;129.709
6.1.22 7:45;358.898;129.875
6.1.22 8:00;333.314;128.689
6.1.22 8:15;349.959;129.792
6.1.22 8:30;359.773;130.158
6.1.22 8:45;374.907;130.089
6.1.22 9:00;368.057;129.526
6.1.22 9:15;354.849;129.144
6.1.22 9:30;362.105;128.955
6.1.22 9:45;372.667;128.766
6.1.22 10:00;377.126;129.580
6.1.22 10:15;353.950;129.168
6.1.22 10:30;369.001;129.359
6.1.22 10:45;379.399;129.354
6.1.22 11:00;378.091;128.705
6.1.22 11:15;359.657;127.369
6.1.22 11:30;371.344;127.441
6.1.22 11:45;379.340;127.575
6.1.22 12:00;379.646;129.463
6.1.22 12:15;367.042;129.075
6.1.22 12:30;366.766;129.429
6.1.22 12:45;355.465;129.983
6.1.22 13:00;353.413;130.695
6.1.22 13:15;355.221;130.568
6.1.22 13:30;352.017;131.178
6.1.22 13:45;368.640;131.498
6.1.22 14:00;370.585;132.295
6.1.22 14:15;365.232;132.159
6.1.22 14:30;359.683;132.801
6.1.22 14:45;360.095;132.518
